Date,Grade,Caliper,Width,Tons,Plant
14-Dec-15,CRB,.016,25.750,0.62380582,Hamel
16-Nov-15,CRB,.016,25.750,0.668502188,Hamel
31-Jan-15,CRB,.016,25.750,0.582996094,Hamel
31-Jan-15,CRB,.016,25.750,0.582996094,Hamel
30-Jan-15,CRB,.016,25.750,0.582996094,Hamel
26-May-15,CRB,.016,25.750,0.691822031,Hamel
29-Apr-15,CRB,.016,25.750,0.68599207,Hamel
05-Jan-15,CRB,.016,25.750,0.540048715,Hamel
05-Jan-15,CRB,.016,25.750,0.687935391,Hamel
05-Jan-15,CRB,.016,25.750,0.691822031,Hamel
30-Jan-15,CRB,.016,25.750,0.582996094,Hamel
20-Jan-15,CRB,.016,25.750,0.689878711,Hamel
20-Jan-15,CRB,.016,25.750,0.689878711,Hamel
20-Jan-15,CRB,.016,25.750,0.693765352,Hamel
14-Dec-15,CRB,.016,25.750,0.62380582,Hamel
14-Dec-15,CRB,.016,25.750,0.61991918,Hamel
14-Dec-15,CRB,.016,25.750,0.625749141,Hamel
16-Nov-15,CRB,.016,25.750,0.652955625,Hamel
16-Nov-15,CRB,.016,25.750,0.649068984,Hamel
14-Dec-15,CRB,.016,25.750,0.639352383,Hamel
20-Feb-15,CRB,.016,25.750,0.68404875,Hamel
14-Dec-15,CRB,.016,25.750,0.627692461,Hamel
29-Apr-15,CRB,.016,25.750,0.711255234,Hamel
29-Apr-15,CRB,.016,25.750,0.715141875,Hamel
20-Feb-15,CRB,.016,25.750,0.680162109,Hamel
20-Feb-15,CRB,.016,25.750,0.68210543,Hamel
29-Apr-15,CRB,.016,25.750,0.666558867,Hamel
30-Jan-15,CRB,.016,25.750,0.582996094,Hamel
31-Jan-15,CRB,.016,25.750,0.582996094,Hamel
14-Dec-15,CRB,.016,25.750,0.62380582,Hamel
23-Nov-15,CRB,.016,25.750,0.647125664,Hamel
14-Dec-15,CRB,.016,25.750,0.62380582,Hamel
19-Oct-15,CRB,.016,25.750,0.637409063,Hamel
21-Sep-15,CRB,.016,25.750,0.651012305,Hamel
19-Oct-15,CRB,.016,25.750,0.651012305,Hamel
21-Aug-15,CRB,.016,25.750,0.645182344,Hamel
21-Sep-15,CRB,.016,25.750,0.656842266,Hamel
29-Sep-15,CRB,.016,25.750,0.651012305,Hamel
16-Nov-15,CRB,.016,25.750,0.660728906,Hamel
19-Oct-15,CRB,.016,25.750,0.639352383,Hamel
20-Jul-15,CRB,.016,25.750,0.629635781,Hamel
20-Jul-15,CRB,.016,25.750,0.633522422,Hamel
18-Jul-15,CRB,.016,25.750,0.635465742,Hamel
29-Sep-15,CRB,.016,25.750,0.651012305,Hamel
26-May-15,CRB,.016,25.750,0.691822031,Hamel
19-Jun-15,CRB,.016,25.750,0.699595313,Hamel
19-Jun-15,CRB,.016,25.750,0.707368594,Hamel
18-Jun-15,CRB,.016,25.750,0.670445508,Hamel
24-Aug-15,CRB,.016,25.750,0.466396875,Hamel
19-Oct-15,CRB,.016,25.750,0.633522422,Hamel
18-Jul-15,CRB,.016,25.750,0.639352383,Hamel
19-Oct-15,CRB,.016,25.750,0.637409063,Hamel
19-Oct-15,CRB,.016,25.750,0.629635781,Hamel
19-Oct-15,CRB,.016,25.750,0.635465742,Hamel
19-Oct-15,CRB,.016,25.750,0.637409063,Hamel
19-Oct-15,CRB,.016,25.750,0.635465742,Hamel
19-Oct-15,CRB,.016,25.750,0.639352383,Hamel
23-Nov-15,CRB,.016,25.750,0.652955625,Hamel
14-Dec-15,CRB,.016,25.750,0.639352383,Hamel
14-Dec-15,CRB,.016,25.750,0.629635781,Hamel
05-Jan-15,CRB,.016,25.750,0.676275469,Hamel
20-Jan-15,CRB,.016,25.750,0.693765352,Hamel
29-Sep-15,CRB,.016,25.750,0.643239023,Hamel
29-Sep-15,CRB,.016,25.750,0.643239023,Hamel
22-Sep-15,CRB,.016,25.750,0.647125664,Hamel
10-Oct-15,CRB,.016,25.750,0.544129688,Hamel
10-Oct-15,CRB,.016,25.750,0.582996094,Hamel
16-Nov-15,CRB,.016,25.750,0.649068984,Hamel
23-Nov-15,CRB,.016,25.750,0.654898945,Hamel
23-Nov-15,CRB,.016,25.750,0.652955625,Hamel
23-Nov-15,CRB,.016,25.750,0.647125664,Hamel
29-Sep-15,CRB,.016,25.750,0.656842266,Hamel
04-Nov-15,CRB,.016,25.750,0.651983965,Hamel
29-Sep-15,CRB,.016,25.750,0.658785586,Hamel
16-Nov-15,CRB,.016,25.750,0.649068984,Hamel
24-Aug-15,CRB,.016,25.750,0.652955625,Hamel
23-Nov-15,CRB,.016,25.750,0.654898945,Hamel
29-Sep-15,CRB,.016,25.750,0.654898945,Hamel
29-Sep-15,CRB,.016,25.750,0.656842266,Hamel
23-Nov-15,CRB,.016,25.750,0.652955625,Hamel
29-Sep-15,CRB,.016,25.750,0.658785586,Hamel
26-May-15,CRB,.016,25.750,0.68599207,Hamel
19-Oct-15,CRB,.016,25.750,0.629635781,Hamel
19-Oct-15,CRB,.016,25.750,0.633522422,Hamel
29-Sep-15,CRB,.016,25.750,0.643239023,Hamel
29-Sep-15,CRB,.016,25.750,0.643239023,Hamel
24-Aug-15,CRB,.016,25.750,0.645182344,Hamel
22-Sep-15,CRB,.016,25.750,0.651012305,Hamel
21-Sep-15,CRB,.016,25.750,0.645182344,Hamel
24-Aug-15,CRB,.016,25.750,0.652955625,Hamel
10-Sep-15,CRB,.016,25.750,0.660728906,Hamel
10-Sep-15,CRB,.016,25.750,0.664615547,Hamel
10-Oct-15,CRB,.016,25.750,0.62477748,Hamel
10-Oct-15,CRB,.016,25.750,0.582996094,Hamel
22-Sep-15,CRB,.016,25.750,0.651012305,Hamel
04-Nov-15,CRB,.016,25.750,0.649068984,Hamel
10-Sep-15,CRB,.016,25.750,0.643239023,Hamel
19-Oct-15,CRB,.016,25.750,0.637409063,Hamel
14-Dec-15,CRB,.016,25.750,0.627692461,Hamel
14-Dec-15,CRB,.016,25.750,0.629635781,Hamel
