Date,Grade,Caliper,Width,Tons,Plant,Mill
11/8/2015,NB,18-0,34.25,10.44,"GPI-IRVINE,CA",Santa Clara
11/8/2015,NB,18-0,39.0625,19.4925,"GPI-IRVINE,CA",Santa Clara
11/8/2015,NB,18-0,40,20.6425,"GPI-IRVINE,CA",Santa Clara
11/8/2015,NB,18-0,48,6.0275,"GPI-GRESHAM,OR",Santa Clara
11/8/2015,NB,18-0,52.4375,8.655,"GPI-GRESHAM,OR",Santa Clara
11/8/2015,NB,18-0,54.25,16.285,"GPI-GRESHAM,OR",Santa Clara
11/8/2015,NB,18-0,54.625,16.2575,"GPI-GRESHAM,OR",Santa Clara
11/8/2015,NB,19-0,31.75,32.9475,"GPI-CENTRALIA,IL",Middletown
11/8/2015,NB,20-0,27,60.108,"GPI-KENDALLVILLE,IN",Kalamazoo
11/8/2015,NB,20-0,29.3125,34.115,"GPI-KALAMAZOO,MI",Battle Creek
11/8/2015,NB,20-0,29.3125,147.1015,"GPI-KALAMAZOO,MI",Kalamazoo
11/8/2015,NB,20-0,29.75,20.0695,"GPI-KENDALLVILLE,IN",Kalamazoo
11/8/2015,NB,20-0,30.125,135.723,"GPI-CENTRALIA,IL",Battle Creek
11/8/2015,NB,20-0,30.125,54.507,"GPI-KENDALLVILLE,IN",Kalamazoo
11/8/2015,NB,20-0,30.3125,144.512,"GPI-KENDALLVILLE,IN",Kalamazoo
11/8/2015,NB,20-0,31.125,24.2205,GPI-COBOURG,Kalamazoo
11/8/2015,NB,20-0,32.25,42.592,GPI-WINNIPEG,Kalamazoo
11/8/2015,NB,20-0,32.875,39.0025,"GPI-MARION,OH",Battle Creek
11/8/2015,NB,20-0,34.6875,73.044,"GPI-CENTRALIA,IL",Kalamazoo
11/8/2015,NB,20-0,38,17.287,"GPI-OAKS,PA",Middletown
11/8/2015,NB,20-0,39,88.1685,"GPI-PACIFIC,MO",Middletown
11/8/2015,NB,20-0,39.0625,15.4925,"GPI-STONE MOUNTAIN,GA",Middletown
11/8/2015,NB,20-0,39.375,8.9565,"GPI-OAKS,PA",Middletown
11/8/2015,NB,20-0,39.875,8.783,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
11/8/2015,NB,20-0,40.3125,232.804,"GPI-PACIFIC,MO",Middletown
11/8/2015,NB,20-0,40.75,43.1235,"GPI-KALAMAZOO,MI",Kalamazoo
11/8/2015,NB,20-0,41.0625,83.4955,"GPI-KALAMAZOO,MI",Kalamazoo
11/8/2015,NB,20-0,42.9375,30.745,"GPI-PACIFIC,MO",Middletown
11/8/2015,NB,20-0,46,15.6635,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
11/8/2015,NB,20-0,47.625,16.216,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
11/8/2015,NB,20-0,47.75,18.5545,"GPI-CAROL STREAM,IL",Battle Creek
11/8/2015,NB,20-0,49.625,11.151,"GPI-CHARLOTTE,NC",Kalamazoo
11/8/2015,NB,20-0,54.375,9.1885,"GPI-MENASHA,WI",Kalamazoo
11/8/2015,NB,20-0,58.9375,3.0665,"GPI-PACIFIC,MO",Middletown
11/8/2015,NB,21-0,38.8125,189.618,"GPI-KALAMAZOO,MI",Battle Creek
11/8/2015,NB,21-0,40.5,40.2135,"GPI-MENASHA,WI",Kalamazoo
11/8/2015,NB,21-0,42.375,170.852,"GPI-KALAMAZOO,MI",Kalamazoo
11/8/2015,NB,22-0,29,7.6885,"GPI-KENDALLVILLE,IN",Battle Creek
11/8/2015,NB,24-0,18.625,9.1765,GPI-COBOURG,Kalamazoo
11/8/2015,NB,24-0,34.375,37.539,"GPI-KALAMAZOO,MI",Kalamazoo
11/8/2015,NB,24-0,35.3125,124.369,"GPI-PACIFIC,MO",Kalamazoo
11/8/2015,NB,24-0,35.4375,50.886,"GPI-KALAMAZOO,MI",Kalamazoo
11/8/2015,NB,24-0,44.875,26.8605,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
11/9/2015,NB,16-0,31.25,45.7975,"GPI-VANCOUVER,WA",Santa Clara
11/9/2015,NB,16-0,33.5,5.48,"GPI-IRVINE,CA",Santa Clara
11/9/2015,NB,16-0,37.625,77.12,"GPI-VANCOUVER,WA",Santa Clara
11/9/2015,NB,16-0,61.3125,34.1425,"GPI-IRVINE,CA",Santa Clara
11/9/2015,NB,18-0,34.125,19.97,"GPI-CAROL STREAM,IL",Middletown
11/9/2015,NB,18-0,36.9375,12.5775,"GPI-IRVINE,CA",Santa Clara
11/9/2015,NB,18-0,37.5625,83.9425,"GPI-CAROL STREAM,IL",Battle Creek
11/9/2015,NB,18-0,45.4375,13.2955,"GPI-LUMBERTON,NC",Middletown
11/9/2015,NB,18-0,52,14.7695,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
11/9/2015,NB,19-0,31.75,22.0635,"GPI-CENTRALIA,IL",Middletown
11/9/2015,NB,20-0,25.9375,1.5205,"GPI-KENDALLVILLE,IN",Kalamazoo
11/9/2015,NB,20-1,26.8125,5.815,"GPI-GRESHAM,OR",Santa Clara
11/9/2015,NB,20-0,28,4.7445,"GPI-KENDALLVILLE,IN",Kalamazoo
11/9/2015,NB,20-1,28.75,15.896,"GPI-GRESHAM,OR",Santa Clara
11/9/2015,NB,20-1,29.1875,12.9375,"GPI-VANCOUVER,WA",Santa Clara
11/9/2015,NB,20-0,29.3125,31.5645,"GPI-KALAMAZOO,MI",Battle Creek
11/9/2015,NB,20-1,29.5,36.2355,"GPI-VANCOUVER,WA",Santa Clara
11/9/2015,NB,20-0,29.75,5.232,"GPI-KENDALLVILLE,IN",Kalamazoo
11/9/2015,NB,20-0,30.125,46.8415,"GPI-KENDALLVILLE,IN",Kalamazoo
11/9/2015,NB,20-0,30.3125,3.2325,"GPI-KENDALLVILLE,IN",Kalamazoo
11/9/2015,NB,20-0,30.75,203.2715,"GPI-KENDALLVILLE,IN",Kalamazoo
11/9/2015,NB,20-0,31.125,61.1115,GPI-COBOURG,Kalamazoo
11/9/2015,NB,20-0,31.4375,41.634,"GPI-KALAMAZOO,MI",Kalamazoo
11/9/2015,NB,20-0,31.4375,101.533,"GPI-MITCHELL,SD",Kalamazoo
11/9/2015,NB,20-0,31.8125,15.733,"GPI-KENDALLVILLE,IN",Kalamazoo
11/9/2015,NB,20-0,32.25,41.112,"GPI-WAUSAU,WI",Kalamazoo
11/9/2015,NB,20-0,36.3125,37.515,"GPI-IRVINE,CA",Santa Clara
11/9/2015,NB,20-0,36.375,6.381,"GPI-MITCHELL,SD",Kalamazoo
11/9/2015,NB,20-0,37.8125,45.8635,"GPI-CAROL STREAM,IL",Kalamazoo
11/9/2015,NB,20-0,38.625,68.295,"GPI-PACIFIC,MO",Middletown
11/9/2015,NB,20-0,38.9375,22.2505,"GPI-MENASHA,WI",Middletown
11/9/2015,NB,20-1,39.4375,10.87,"GPI-VANCOUVER,WA",Santa Clara
11/9/2015,NB,20-0,39.625,8.404,"GPI-CHARLOTTE,NC",Kalamazoo
11/9/2015,NB,20-0,39.875,10.3725,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
11/9/2015,NB,20-0,40.5,116.847,"GPI-KALAMAZOO,MI",Kalamazoo
11/9/2015,NB,20-0,40.75,25.799,"GPI-KALAMAZOO,MI",Kalamazoo
11/9/2015,NB,20-0,41.0625,6.86,"GPI-KALAMAZOO,MI",Kalamazoo
11/9/2015,NB,20-0,41.1875,68.867,"GPI-KALAMAZOO,MI",Kalamazoo
11/9/2015,NB,20-0,42,21.204,"GPI-KALAMAZOO,MI",Kalamazoo
11/9/2015,NB,20-0,43.875,55.0855,"GPI-PACIFIC,MO",Middletown
11/9/2015,NB,20-0,47.75,12.4155,"GPI-CAROL STREAM,IL",Battle Creek
11/9/2015,NB,20-0,55.3125,6.2145,"GPI-MENASHA,WI",Kalamazoo
11/9/2015,NB,20-0,56.25,12.804,"GPI-TUSCALOOSA,AL",Kalamazoo
11/9/2015,NB,21-0,42.375,144.8825,"GPI-KALAMAZOO,MI",Kalamazoo
11/9/2015,NB,22-0,29,12.868,"GPI-KENDALLVILLE,IN",Battle Creek
11/9/2015,NB,22-0,33.375,14.5275,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
11/9/2015,NB,22-0,36.125,17.813,"GPI-MISSISSAUGA,ON",Kalamazoo
11/9/2015,NB,22-0,40.625,36.0835,"GPI-CAROL STREAM,IL",Kalamazoo
11/9/2015,NB,22-0,43,24.0475,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
11/9/2015,NB,22-0,52.25,22.7225,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
11/9/2015,NB,22-0,52.875,10.7795,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
11/9/2015,NB,24-0,33.0625,84.7805,"GPI-KALAMAZOO,MI",Kalamazoo
11/9/2015,NB,24-0,33.0625,1.5975,GPI-WINNIPEG,Kalamazoo
11/9/2015,NB,24-0,34.375,29.487,"GPI-KALAMAZOO,MI",Kalamazoo
11/9/2015,NB,24-0,35.4375,32.894,"GPI-KALAMAZOO,MI",Kalamazoo
11/9/2015,NB,24-0,48,15.696,"GPI-CHARLOTTE,NC",Kalamazoo
11/9/2015,NB SIZE,20-0,37,1.9105,"GPI-MISSISSAUGA,ON",Battle Creek
11/10/2015,KB SIZE,18-1,31.625,21.3125,"GPI-PORTLAND,OR",Santa Clara
11/10/2015,KB SIZE,18-1,32.125,21.7025,"GPI-PORTLAND,OR",Santa Clara
11/10/2015,KB SIZE,18-1,38.75,16.08,"GPI-GRESHAM,OR",Santa Clara
11/10/2015,KB SIZE,18-1,39.5,10.4175,"GPI-GRESHAM,OR",Santa Clara
11/10/2015,KB SIZE,18-1,44.375,20.785,"GPI-GRESHAM,OR",Santa Clara
11/10/2015,KB SIZE,20-0,24.125,21.3585,"GPI-IRVINE,CA",Santa Clara
11/10/2015,KB SIZE,20-0,32.3125,23.875,"GPI-IRVINE,CA",Santa Clara
11/10/2015,KB SIZE,20-0,34.9375,12.925,"GPI-IRVINE,CA",Santa Clara
11/10/2015,KB SIZE,22-0,33.625,75.37,"GPI-IRVINE,CA",Santa Clara
11/10/2015,NB,18-0,29.5,165.0545,"GPI-MITCHELL,SD",Kalamazoo
11/10/2015,NB,18-0,30.5,51.327,"GPI-KALAMAZOO,MI",Kalamazoo
11/10/2015,NB,18-0,34.125,44.229,"GPI-CAROL STREAM,IL",Middletown
11/10/2015,NB,18-0,34.1875,3.9305,"GPI-CENTRALIA,IL",Kalamazoo
11/10/2015,NB,18-0,34.3125,60.397,"GPI-MITCHELL,SD",Kalamazoo
11/10/2015,NB,18-0,35,49.603,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
11/10/2015,NB,18-0,36.75,7.8615,"GPI-CHARLOTTE,NC",Kalamazoo
11/10/2015,NB,18-0,37.8125,31.596,"GPI-CAROL STREAM,IL",Kalamazoo
11/10/2015,NB,18-0,38.75,15.8435,"GPI-CAROL STREAM,IL",Kalamazoo
11/10/2015,NB,18-0,38.75,52.5185,"GPI-MENASHA,WI",Kalamazoo
11/10/2015,NB,18-0,39.625,53.841,"GPI-CENTRALIA,IL",Kalamazoo
11/10/2015,NB,18-0,39.625,11.8265,"GPI-MENASHA,WI",Kalamazoo
11/10/2015,NB,18-0,39.625,68.2665,"GPI-MITCHELL,SD",Kalamazoo
11/10/2015,NB,18-0,40.5,4.849,"GPI-STONE MOUNTAIN,GA",Middletown
11/10/2015,NB,18-0,40.9375,177.73,"GPI-KALAMAZOO,MI",Kalamazoo
11/10/2015,NB,18-0,41.0625,42.458,"GPI-FORT SMITH,AR",Kalamazoo
11/10/2015,NB,18-0,41.75,4.8,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
11/10/2015,NB,18-0,42.25,51.6235,"GPI-KALAMAZOO,MI",Kalamazoo
11/10/2015,NB,18-0,45.4375,10.296,"GPI-LUMBERTON,NC",Middletown
11/10/2015,NB,18-0,46.75,14.78,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
11/10/2015,NB,18-0,46.875,19.7555,"GPI-LUMBERTON,NC",Middletown
11/10/2015,NB,18-0,49.625,5.7925,"GPI-CHARLOTTE,NC",Kalamazoo
11/10/2015,NB,18-0,64,50.6895,"GPI-LUMBERTON,NC",Kalamazoo
11/10/2015,NB,20-0,25.9375,18.019,"GPI-KENDALLVILLE,IN",Kalamazoo
11/10/2015,NB,20-1,29.1875,1.645,"GPI-VANCOUVER,WA",Santa Clara
11/10/2015,NB,20-1,29.5,30.08,"GPI-VANCOUVER,WA",Santa Clara
11/10/2015,NB,20-0,29.75,27.521,"GPI-KENDALLVILLE,IN",Kalamazoo
11/10/2015,NB,20-0,30.3125,7.0385,"GPI-KENDALLVILLE,IN",Kalamazoo
11/10/2015,NB,20-0,36.375,9.486,"GPI-MITCHELL,SD",Kalamazoo
11/10/2015,NB,20-0,38.625,8.931,"GPI-PACIFIC,MO",Middletown
11/10/2015,NB,20-0,41.0625,10.7085,"GPI-KALAMAZOO,MI",Kalamazoo
11/10/2015,NB,20-0,43.875,5.0725,"GPI-PACIFIC,MO",Middletown
11/10/2015,NB,22-0,33.0625,3.5635,GPI-COBOURG,Kalamazoo
11/10/2015,NB,22-1,34.75,17.645,"GPI-VANCOUVER,WA",Santa Clara
11/10/2015,NB,22-0,36.125,39.546,"GPI-MISSISSAUGA,ON",Kalamazoo
11/10/2015,NB,22-0,40.625,106.261,"GPI-CAROL STREAM,IL",Kalamazoo
11/10/2015,NB,22-1,47.25,47.9,"GPI-GRESHAM,OR",Santa Clara
11/10/2015,NB,24-1,29.6875,53.9025,"GPI-VANCOUVER,WA",Santa Clara
11/10/2015,NB,24-0,33.0625,7.072,"GPI-KALAMAZOO,MI",Kalamazoo
11/10/2015,NB,24-0,35.4375,3.79,"GPI-KALAMAZOO,MI",Kalamazoo
11/10/2015,NB,24-1,51.25,12.9,"GPI-GRESHAM,OR",Santa Clara
11/10/2015,NB,28-1,29.75,6.5265,"GPI-CHARLOTTE,NC",Kalamazoo
11/10/2015,NB,28-1,56.6875,49.2625,"GPI-CAROL STREAM,IL",Kalamazoo
11/10/2015,NB,28-1,59.5,23.143,"GPI-PACIFIC,MO",Kalamazoo
11/11/2015,KB,18-0,27.25,4.622,"GPI-KENDALLVILLE,IN",Battle Creek
11/11/2015,KB,20-0,25.8125,5.818,"GPI-KENDALLVILLE,IN",Battle Creek
11/11/2015,KB,24-1,21.6875,7.149,"GPI-KENDALLVILLE,IN",Battle Creek
11/11/2015,KB,24-1,25.8125,5.669,"GPI-KENDALLVILLE,IN",Battle Creek
11/11/2015,KB SIZE,16-0,39.375,26.2185,"GPI-LUMBERTON,NC",Battle Creek
11/11/2015,KB SIZE,16-0,41,4.6375,"GPI-GRESHAM,OR",Santa Clara
11/11/2015,KB SIZE,16-0,45.25,10.2675,"GPI-GRESHAM,OR",Santa Clara
11/11/2015,KB SIZE,18-1,41.75,5.1,"GPI-GRESHAM,OR",Santa Clara
11/11/2015,KB WSSZ,19-0,39.375,304.11,"GPI-OROVILLE,CA",Santa Clara
11/11/2015,KB WSSZ,19-0,39.875,52.7225,"GPI-OROVILLE,CA",Santa Clara
11/11/2015,NB,16-0,24.75,18.64,GPI-WINNIPEG,Kalamazoo
11/11/2015,NB,16-0,25.875,1.583,"GPI-KENDALLVILLE,IN",Kalamazoo
11/11/2015,NB,16-0,26.5625,54.109,GPI-WINNIPEG,Kalamazoo
11/11/2015,NB,16-0,27.4375,190.3015,GPI-WINNIPEG,Kalamazoo
11/11/2015,NB,16-0,31.625,13.647,"GPI-CHARLOTTE,NC",Kalamazoo
11/11/2015,NB,16-0,31.875,53.559,"GPI-GORDONSVILLE,TN",Kalamazoo
11/11/2015,NB,16-0,32.125,45.6395,"GPI-MITCHELL,SD",Kalamazoo
11/11/2015,NB,16-0,33,35.059,"GPI-CENTRALIA,IL",Kalamazoo
11/11/2015,NB,16-0,35,113.799,"GPI-CENTRALIA,IL",Kalamazoo
11/11/2015,NB,16-0,39.25,107.3475,"GPI-MITCHELL,SD",Kalamazoo
11/11/2015,NB,16-0,39.25,20.676,"GPI-OAKS,PA",Kalamazoo
11/11/2015,NB,16-0,49.25,41.015,"GPI-SOLON,OH",Kalamazoo
11/11/2015,NB,16-0,50.375,3.082,"GPI-CHARLOTTE,NC",Kalamazoo
11/11/2015,NB,16-0,51.375,38.695,GPI-WINNIPEG,Kalamazoo
11/11/2015,NB,16-0,53.5,17.7835,"GPI-ELK GROVE VILLAGE,IL",Middletown
11/11/2015,NB,16-0,54.625,22.441,"GPI-CHARLOTTE,NC",Kalamazoo
11/11/2015,NB,16-0,54.625,35.5945,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
11/11/2015,NB,18-0,25.5,3.053,"GPI-GORDONSVILLE,TN",Middletown
11/11/2015,NB,18-0,30.5,4.9645,"GPI-KALAMAZOO,MI",Kalamazoo
11/11/2015,NB,18-0,34.125,28.0615,"GPI-CAROL STREAM,IL",Middletown
11/11/2015,NB,18-0,34.1875,66.8825,"GPI-CENTRALIA,IL",Kalamazoo
11/11/2015,NB,18-0,34.3125,11.17,"GPI-MITCHELL,SD",Kalamazoo
11/11/2015,NB,18-0,35.375,12.516,"GPI-CHARLOTTE,NC",Kalamazoo
11/11/2015,NB,18-0,38.75,16.3105,"GPI-MENASHA,WI",Kalamazoo
11/11/2015,NB,18-0,39,20.9355,"GPI-MENASHA,WI",Middletown
11/11/2015,NB,18-0,39.625,14.02,"GPI-MITCHELL,SD",Kalamazoo
11/11/2015,NB,18-0,41.75,14.185,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
11/11/2015,NB,18-0,41.75,9.846,"GPI-MISSISSAUGA,ON",Middletown
11/11/2015,NB,18-0,41.9375,6.826,"GPI-CAROL STREAM,IL",Kalamazoo
11/11/2015,NB,18-0,43.75,7.684,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
11/11/2015,NB,18-0,49,17.558,"GPI-PACIFIC,MO",Middletown
11/11/2015,NB,18-0,52.875,12.2665,"GPI-ELK GROVE VILLAGE,IL",Middletown
11/11/2015,NB,18-0,59.75,13.537,"GPI-PACIFIC,MO",Middletown
11/11/2015,NB,22-0,35.9375,12.989,"GPI-OAKS,PA",Battle Creek
11/11/2015,NB,22-0,53.5,10.616,"GPI-TUSCALOOSA,AL",Battle Creek
11/11/2015,NB,24-1,33.4375,35.5215,"GPI-CENTRALIA,IL",Battle Creek
11/11/2015,NB,26-1,37.75,3.7065,"GPI-MITCHELL,SD",Kalamazoo
11/11/2015,NB,28-1,43.25,12.9805,"GPI-OAKS,PA",Kalamazoo
11/11/2015,NB,28-1,43.625,14.0375,"GPI-TUSCALOOSA,AL",Kalamazoo
11/11/2015,NB,28-1,56.6875,25.1675,"GPI-CAROL STREAM,IL",Kalamazoo
11/11/2015,NB,28-1,59.5,3.3465,"GPI-PACIFIC,MO",Kalamazoo
11/12/2015,KB WSSZ,19-0,29.5625,150.8595,"GPI-OROVILLE,CA",Santa Clara
11/12/2015,KB WSSZ,19-0,36.5,102.5575,"GPI-OROVILLE,CA",Santa Clara
11/12/2015,KB WSSZ,19-0,37.0625,36.3375,"GPI-OROVILLE,CA",Santa Clara
11/12/2015,KB WSSZ,19-0,39.375,22.395,"GPI-OROVILLE,CA",Santa Clara
11/12/2015,KB WSSZ,19-0,39.875,13.565,"GPI-OROVILLE,CA",Santa Clara
11/12/2015,KB WSSZ,19-0,40.3125,38.44,"GPI-OROVILLE,CA",Santa Clara
11/12/2015,KB WSSZ,19-0,45.625,15.1825,"GPI-OROVILLE,CA",Santa Clara
11/12/2015,NB,14-0,33.6875,8.487,"GPI-SOLON,OH",Kalamazoo
11/12/2015,NB,14-0,35,145.652,"GPI-SOLON,OH",Kalamazoo
11/12/2015,NB,16-0,25.25,10.341,"GPI-MITCHELL,SD",Battle Creek
11/12/2015,NB,16-0,25.875,4.24,"GPI-KENDALLVILLE,IN",Kalamazoo
11/12/2015,NB,16-0,31.875,25.3405,"GPI-GORDONSVILLE,TN",Kalamazoo
11/12/2015,NB,16-0,35,12.603,"GPI-CENTRALIA,IL",Kalamazoo
11/12/2015,NB,16-0,37.125,24.513,"GPI-STONE MOUNTAIN,GA",Middletown
11/12/2015,NB,16-0,38.875,4.5665,"GPI-CHARLOTTE,NC",Kalamazoo
11/12/2015,NB,16-0,39.25,13.487,"GPI-MITCHELL,SD",Kalamazoo
11/12/2015,NB,16-0,39.4375,4.667,"GPI-STONE MOUNTAIN,GA",Middletown
11/12/2015,NB,16-0,39.8125,106.6965,"GPI-CAROL STREAM,IL",Middletown
11/12/2015,NB,16-0,52,5.6955,"GPI-TUSCALOOSA,AL",Battle Creek
11/12/2015,NB,16-0,53.5,125.3785,"GPI-ELK GROVE VILLAGE,IL",Middletown
11/12/2015,NB,18-0,41.0625,9.085,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
11/12/2015,NB,18-0,43.75,38.0405,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
11/12/2015,NB,20-0,28,24.978,"GPI-KENDALLVILLE,IN",Kalamazoo
11/12/2015,NB,20-0,29.75,74.8445,"GPI-KENDALLVILLE,IN",Kalamazoo
11/12/2015,NB,20-0,30.125,17.341,"GPI-KENDALLVILLE,IN",Kalamazoo
11/12/2015,NB,20-0,30.3125,41.9015,"GPI-KENDALLVILLE,IN",Kalamazoo
11/12/2015,NB,20-0,30.75,21.0975,"GPI-KENDALLVILLE,IN",Kalamazoo
11/12/2015,NB,20-0,31.75,21.8315,"GPI-KENDALLVILLE,IN",Kalamazoo
11/12/2015,NB,20-0,31.8125,13.5325,"GPI-KENDALLVILLE,IN",Kalamazoo
11/12/2015,NB,20-0,36.375,46.425,"GPI-MITCHELL,SD",Kalamazoo
11/12/2015,NB,20-0,37.375,10.735,"GPI-LUMBERTON,NC",Kalamazoo
11/12/2015,NB,20-0,38.625,50.8955,"GPI-LUMBERTON,NC",Kalamazoo
11/12/2015,NB,20-0,40.5,13.943,"GPI-KALAMAZOO,MI",Kalamazoo
11/12/2015,NB,20-0,40.75,136.174,"GPI-KALAMAZOO,MI",Kalamazoo
11/12/2015,NB,20-0,47.625,2.729,"GPI-MENASHA,WI",Kalamazoo
11/12/2015,NB,20-0,49.625,5.64,"GPI-FORT SMITH,AR",Kalamazoo
11/12/2015,NB,22-0,28.125,33.9485,"GPI-KALAMAZOO,MI",Kalamazoo
11/12/2015,NB,22-0,29.5,35.61,"GPI-KALAMAZOO,MI",Kalamazoo
11/12/2015,NB,22-0,30.75,69.152,"GPI-KALAMAZOO,MI",Kalamazoo
11/12/2015,NB,22-0,53.5,63.597,"GPI-TUSCALOOSA,AL",Battle Creek
11/12/2015,NB,24-0,33.0625,18.109,"GPI-KALAMAZOO,MI",Kalamazoo
11/12/2015,NB,24-1,33.4375,18.616,"GPI-CENTRALIA,IL",Battle Creek
11/12/2015,NB,24-0,35.4375,9.7045,"GPI-KALAMAZOO,MI",Kalamazoo
11/12/2015,NB,26-1,37.75,66.382,"GPI-MITCHELL,SD",Kalamazoo
11/12/2015,NB HS,18-0,40.25,44.771,"GPI-MENASHA,WI",Battle Creek
11/12/2015,NB SIZE,16-0,30.125,12.332,"GPI-STONE MOUNTAIN,GA",Battle Creek
11/12/2015,NB SIZE,16-0,33.3125,3.652,"GPI-STONE MOUNTAIN,GA",Battle Creek
11/13/2015,KB WSSZ,19-0,39.375,2.235,"GPI-OROVILLE,CA",Santa Clara
11/13/2015,KB WSSZ,19-0,39.875,2.26,"GPI-OROVILLE,CA",Santa Clara
11/13/2015,KB WSSZ,19-0,40.3125,2.28,"GPI-OROVILLE,CA",Santa Clara
11/13/2015,NB,16-0,24.75,1.443,GPI-WINNIPEG,Kalamazoo
11/13/2015,NB,16-0,25.25,27.812,"GPI-MITCHELL,SD",Battle Creek
11/13/2015,NB,16-0,25.875,213.6215,"GPI-KENDALLVILLE,IN",Kalamazoo
11/13/2015,NB,16-0,26.5625,31.2145,GPI-WINNIPEG,Kalamazoo
11/13/2015,NB,16-0,28.0625,62.6415,"GPI-GORDONSVILLE,TN",Kalamazoo
11/13/2015,NB,16-0,31.875,148.33,"GPI-GORDONSVILLE,TN",Kalamazoo
11/13/2015,NB,16-0,32.125,78.064,"GPI-MITCHELL,SD",Kalamazoo
11/13/2015,NB,16-0,33,19.53,"GPI-CENTRALIA,IL",Kalamazoo
11/13/2015,NB,16-0,35,42.187,"GPI-CENTRALIA,IL",Kalamazoo
11/13/2015,NB,16-0,35.375,19.1205,"GPI-CHARLOTTE,NC",Kalamazoo
11/13/2015,NB,16-0,37.125,40.025,"GPI-STONE MOUNTAIN,GA",Middletown
11/13/2015,NB,16-0,38,22.559,"GPI-OAKS,PA",Middletown
11/13/2015,NB,16-0,39.25,77.4855,"GPI-MITCHELL,SD",Kalamazoo
11/13/2015,NB,16-0,39.75,6.913,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
11/13/2015,NB,16-0,39.8125,93.18,"GPI-CAROL STREAM,IL",Middletown
11/13/2015,NB,16-0,42.625,12.652,"GPI-CAROL STREAM,IL",Middletown
11/13/2015,NB,16-0,49.25,31.8595,"GPI-SOLON,OH",Kalamazoo
11/13/2015,NB,16-0,52,17.367,"GPI-TUSCALOOSA,AL",Battle Creek
11/13/2015,NB,16-0,52.625,20.829,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
11/13/2015,NB,16-0,53.5,220.841,"GPI-ELK GROVE VILLAGE,IL",Middletown
11/13/2015,NB,18-0,27.625,19.585,"GPI-CHARLOTTE,NC",Kalamazoo
11/13/2015,NB,18-0,34.1875,19.6945,"GPI-CENTRALIA,IL",Kalamazoo
11/13/2015,NB,18-0,34.3125,25.783,"GPI-MITCHELL,SD",Kalamazoo
11/13/2015,NB,18-0,37.8125,18.166,"GPI-CAROL STREAM,IL",Kalamazoo
11/13/2015,NB,18-0,38.75,4.749,"GPI-MENASHA,WI",Kalamazoo
11/13/2015,NB,18-0,39.625,56.2395,"GPI-CENTRALIA,IL",Kalamazoo
11/13/2015,NB,18-0,39.625,18.932,"GPI-MITCHELL,SD",Kalamazoo
11/13/2015,NB,18-0,46.75,5.519,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
11/13/2015,NB,18-0,47.8125,11.1075,"GPI-OAKS,PA",Kalamazoo
11/13/2015,NB,18-0,49.625,2.9465,"GPI-CHARLOTTE,NC",Kalamazoo
11/13/2015,NB,18-0,64,30.7485,"GPI-LUMBERTON,NC",Kalamazoo
11/13/2015,NB,20-0,29.75,27.434,"GPI-KENDALLVILLE,IN",Kalamazoo
11/13/2015,NB,20-0,37.375,17.234,"GPI-LUMBERTON,NC",Kalamazoo
11/13/2015,NB,20-0,40.75,18.7905,"GPI-KALAMAZOO,MI",Kalamazoo
11/13/2015,NB,22-0,28.125,44.696,"GPI-KALAMAZOO,MI",Kalamazoo
11/13/2015,NB,22-0,29.5,47.294,"GPI-KALAMAZOO,MI",Kalamazoo
11/13/2015,NB,22-0,30.75,77.633,"GPI-KALAMAZOO,MI",Kalamazoo
11/13/2015,NB,22-0,33.0625,9.118,GPI-COBOURG,Kalamazoo
11/13/2015,NB,22-0,33.0625,5.4765,"GPI-KALAMAZOO,MI",Kalamazoo
11/13/2015,NB,22-0,36.125,11.993,"GPI-MISSISSAUGA,ON",Kalamazoo
11/13/2015,NB,22-0,40.625,86.006,"GPI-CAROL STREAM,IL",Kalamazoo
11/13/2015,NB,22-0,40.625,33.762,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
11/13/2015,NB,22-0,40.625,96.67,"GPI-IRVINE,CA",Santa Clara
11/13/2015,NB,22-0,50.25,16.6835,"GPI-CHARLOTTE,NC",Kalamazoo
